formulation,mean_lp_gap,mean_runtime,mean_nodes,mean_cuts,mean_mip_gap,num_runs
loose_big_m,0.1410067031785648,0.0274525880813598,1.0,71.0,2.976462294488389e-17,4
tight_big_m,0.09907607829311099,0.022133708000183074,1.0,71.0,2.976462294488389e-17,4
indicator,0.15563115003147485,0.03998482227325435,1.0,81.5,1.1448837317966117e-05,4
