instance_name,formulation,num_facilities,num_customers,total_demand,total_capacity,capacity_slack,num_vars,num_binary_vars,num_constraints,objective_value,root_lp_objective,lp_gap_fraction,best_bound,mip_gap,runtime_sec,mip_nodes,cuts_applied,status,time_limit_sec,gurobi_version,seed,instance_source,capacity_slack_param
random_f20_c60_s2,loose_big_m,20,60,1071.0,1296.0,1.2100840336134453,1220,1220,100,2379.482,270.24998643407787,0.8864248662380813,2379.2925343681713,7.962473842148216e-05,5.396747827529907,37946.0,123,OPTIMAL,,13.0.2,2,random,1.2
random_f20_c60_s2,tight_big_m,20,60,1071.0,1296.0,1.2100840336134453,1220,1220,80,2379.482,2296.7833797905796,0.0347548837139429,2379.3278996988265,6.476212098828965e-05,6.6990180015563965,42640.0,122,OPTIMAL,,13.0.2,2,random,1.2
random_f20_c60_s2,indicator,20,60,1071.0,1296.0,1.2100840336134453,1220,1220,100,2379.482,122.07759602360602,0.9486957262027592,2379.2679309918703,8.996454191694958e-05,10.002551078796388,20422.0,122,OPTIMAL,,13.0.2,2,random,1.2
random_f20_c60_s3,loose_big_m,20,60,1002.0,1212.0,1.2095808383233533,1220,1220,100,2900.38,298.8527398868088,0.8969608327574977,2900.3558787614106,8.316578720542443e-06,4.514849901199341,20655.0,117,OPTIMAL,,13.0.2,3,random,1.2
random_f20_c60_s3,tight_big_m,20,60,1002.0,1212.0,1.2095808383233533,1220,1220,80,2900.38,2765.145966087174,0.0466263158320033,2900.1000612000103,9.651797350342022e-05,4.451385021209717,26511.0,107,OPTIMAL,,13.0.2,3,random,1.2
random_f20_c60_s3,indicator,20,60,1002.0,1212.0,1.2095808383233533,1220,1220,100,2900.38,120.55091163189208,0.958436166422368,2900.3799999999997,0.0,3.6173970699310303,15842.0,110,OPTIMAL,,13.0.2,3,random,1.2
random_f20_c60_s4,loose_big_m,20,60,1014.0,1227.0,1.2100591715976332,1220,1220,100,2624.635,288.5066723448801,0.8900774117753973,2624.4711850713825,6.241436566141177e-05,1.2020771503448486,5911.0,144,OPTIMAL,,13.0.2,4,random,1.2
random_f20_c60_s4,tight_big_m,20,60,1014.0,1227.0,1.2100591715976332,1220,1220,80,2624.635,2532.570949091568,0.0350768967526655,2624.635,0.0,1.1488239765167236,5275.0,143,OPTIMAL,,13.0.2,4,random,1.2
random_f20_c60_s4,indicator,20,60,1014.0,1227.0,1.2100591715976332,1220,1220,100,2624.635,128.89133512126813,0.9508917106107064,2624.635,0.0,7.080428123474121,30871.0,141,OPTIMAL,,13.0.2,4,random,1.2
random_f30_c100_s0,loose_big_m,30,100,1784.0,2156.0,1.2085201793721974,3030,3030,160,4259.216,375.27299508725736,0.911891532364816,4258.803422649487,9.686697047366164e-05,18.746948957443237,58757.0,111,OPTIMAL,,13.0.2,0,random,1.2
random_f30_c100_s0,tight_big_m,30,100,1784.0,2156.0,1.2085201793721974,3030,3030,130,4259.216,4205.15146165479,0.0126935422728526,4258.800641527226,9.751993624522491e-05,27.002972841262817,82716.0,114,OPTIMAL,,13.0.2,0,random,1.2
